determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y@1,split,count,fidelity_score@1,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{14},"(None, 10, 0)",100,0.3,0.21,0.13,0.06,1.0,0.51,0.29,0.13,1.05,0.88,22.972219999999997,,1.5205199999999996,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{15},"(None, 10, 0)",100,0.41,0.32,0.2,0.15,1.0,0.5,0.34,0.22,1.01,0.59,23.08299,,0.99338,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{16},"(None, 10, 0)",100,0.3,0.16,0.04,0.02,0.96,0.3,0.12,0.02,1.0625,0.8958333333333334,23.006312500000003,,1.4821145833333331,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{17},"(None, 10, 0)",100,0.17,0.03,0.0,0.0,0.64,0.09,0.02,0.0,1.296875,1.03125,23.06109375,,1.779953125,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",100,0.29,0.17,0.13,0.1,0.98,0.49,0.31,0.21,1.0714285714285714,0.7448979591836735,23.08868367346939,,1.231142857142857,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",100,0.14,0.11,0.05,0.01,0.83,0.34,0.23,0.14,1.3253012048192772,1.1686746987951808,23.00786746987952,,1.884421686746988,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{3},"(None, 10, 0)",100,0.55,0.41,0.35,0.25,1.0,0.56,0.44,0.37,1.0,0.37,23.120130000000003,,0.71197,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{5},"(None, 10, 0)",100,0.22,0.12,0.03,0.0,1.0,0.4,0.18,0.0,1.05,0.98,23.030079999999995,,1.69858,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{6},"(None, 10, 0)",100,0.08,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.2033898305084745,1.271186440677966,23.108745762711866,,2.218593220338983,
True,BERT4Rec,ml-100k,2048,20,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.2,0.2,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",100,0.43,0.39,0.34,0.3,1.0,0.67,0.54,0.44,1.01,0.55,23.027310000000003,,1.0742099999999999,
