tp,fp,tn,fn,precision,accuracy,recall,train_dataset_len,test_dataset_len,source_sequence_len,source_sequence,determinism,model,dataset,target_cat,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,timestamp
1497,165,647,4169,90.07,33.1,26.42,"(6855, 1004)","(5666, 812)",50,"634,294,1055,311,779,581,448,298,142,362,802,542,138,95,32,312,37,352,13,497,751,661,400,155,257,139,507,30,502,183,161,157,578,489,212,404,528,365,350,759,92,239,696,472,358,186,385,658,281,492",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1658,307,918,3535,84.38,40.14,31.93,"(6447, 1606)","(5193, 1225)",50,"206,505,77,219,395,650,115,661,221,257,472,231,630,50,263,985,515,679,818,250,209,561,634,541,9,1109,774,758,902,739,1304,359,364,686,1093,652,831,1269,216,1308,1096,463,448,27,914,1055,460,1071,1114,198",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1255,207,1814,3256,85.84,46.98,27.82,"(5866, 2339)","(4511, 2021)",50,"137,125,87,404,182,433,596,567,167,274,600,568,180,10,322,694,450,655,9,367,17,65,263,1055,292,277,34,378,914,683,611,317,1064,258,499,448,309,294,581,436,31,1085,223,11,140,492,852,358,25,405",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
110,67,4755,1563,62.15,74.9,6.58,"(1982, 5807)","(1673, 4822)",50,"186,1080,636,650,481,368,709,1411,130,983,1047,693,51,804,343,1461,1169,346,437,37,79,724,658,950,829,22,623,119,551,242,63,966,305,95,54,584,261,1098,1029,274,57,868,626,545,726,35,432,1178,259,327",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1382,90,1022,3540,93.89,39.84,28.08,"(6193, 1676)","(4922, 1112)",27,"276,240,103,50,614,202,87,102,183,352,158,407,306,358,210,104,69,53,303,11,24,863,152,1035,176,404,26",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
53,55,5389,955,49.07,84.35,5.26,"(1370, 6305)","(1008, 5444)",25,"290,176,569,145,52,361,275,41,669,87,26,874,78,488,243,1457,648,666,121,141,1078,50,365,69,453",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1362,208,1470,3390,86.75,44.04,28.66,"(5845, 1782)","(4752, 1678)",50,"466,286,87,436,233,434,294,541,63,558,684,57,819,114,539,312,630,58,248,878,948,293,658,741,588,284,574,71,710,107,221,1129,341,85,699,386,481,518,941,529,369,8,727,119,782,444,310,584,946,902",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1326,201,1410,3347,86.84,43.54,28.38,"(5829, 1954)","(4673, 1611)",50,"889,257,518,630,519,409,809,113,165,355,274,151,764,932,1169,112,318,454,79,476,733,500,91,602,665,741,704,507,661,674,245,463,1017,6,346,1080,647,319,547,285,1073,1109,486,688,258,183,1152,525,585,538",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1313,160,1581,3532,89.14,43.94,27.1,"(6085, 1946)","(4845, 1741)",32,"290,492,158,61,99,961,381,347,52,1422,145,405,270,579,244,96,269,86,653,188,41,377,176,44,945,609,1230,701,926,118,332,1024",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
339,335,4374,1309,50.3,74.14,20.57,"(2302, 5371)","(1648, 4709)",19,"290,224,281,61,214,701,44,361,1028,492,2,569,752,332,377,714,498,825,571",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
735,241,2781,2669,75.31,54.72,21.59,"(4083, 3401)","(3404, 3022)",50,"889,186,95,518,360,983,536,276,251,119,192,82,587,245,58,50,1143,1147,63,562,441,321,255,472,548,731,409,1017,319,316,78,466,588,17,424,330,600,94,167,623,368,109,650,97,222,35,343,550,433,853",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
754,409,2796,2603,64.83,54.1,22.46,"(4434, 3731)","(3357, 3205)",24,"290,61,492,2,609,96,44,653,381,586,405,176,41,569,756,361,99,118,340,52,49,503,90,358",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
834,271,2603,2500,75.48,55.36,25.01,"(4222, 3197)","(3334, 2874)",19,"290,569,653,405,361,174,223,404,874,503,50,484,134,46,1535,433,13,29,1035",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
485,122,3668,2254,79.9,63.61,17.71,"(3711, 4107)","(2739, 3790)",42,"290,381,245,240,457,619,226,542,222,509,950,231,504,276,368,242,937,261,539,35,1048,6,966,1482,497,175,322,204,486,674,670,703,764,239,754,37,688,868,906,385,330,189",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
449,325,3963,1454,58.01,71.26,23.59,"(2925, 5229)","(1903, 4288)",33,"290,99,752,520,669,105,998,190,428,142,644,566,178,88,503,141,447,174,69,407,24,531,648,78,1295,696,260,421,365,299,401,229,379",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1481,194,1186,3486,88.42,42.02,29.82,"(5918, 1721)","(4967, 1380)",50,"239,346,30,320,113,909,47,1358,700,112,402,147,528,211,203,574,363,1038,920,773,425,1172,9,364,66,324,1055,845,231,843,44,720,262,1453,266,99,316,281,694,476,885,883,405,961,73,372,492,752,131,357",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1932,156,1166,3261,92.53,47.55,37.2,"(6356, 1528)","(5193, 1322)",50,"311,577,418,1447,954,415,16,821,182,38,410,56,1015,611,779,206,1020,431,800,850,1055,608,1111,685,329,866,835,814,1049,917,1159,556,1307,364,946,526,657,753,984,718,515,469,1241,333,947,468,283,511,907,1101",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1347,331,1634,3249,80.27,45.44,29.31,"(5735, 2266)","(4596, 1965)",50,"658,367,312,285,35,613,33,162,322,218,92,278,321,192,432,755,78,48,222,368,54,572,360,149,119,497,101,167,157,289,694,175,24,25,171,600,217,391,113,409,390,10,254,318,9,661,795,439,319,568",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1374,158,1376,3451,89.69,43.25,28.48,"(6166, 1709)","(4825, 1534)",50,"280,61,190,95,92,241,726,257,6,409,208,32,630,343,103,175,358,735,58,248,112,678,889,497,390,157,162,289,114,35,102,360,186,45,320,39,192,171,230,736,330,30,221,97,261,733,348,217,298,109",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
860,212,1848,3517,80.22,42.07,19.65,"(5625, 2438)","(4377, 2060)",50,"644,74,78,1085,159,84,149,69,433,137,365,578,553,121,299,125,303,179,18,632,404,87,782,456,1035,648,532,410,491,177,98,1077,446,435,26,657,351,307,490,24,166,174,972,526,182,771,1176,444,847,416",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1087,163,1636,3507,86.96,42.59,23.66,"(5849, 2340)","(4594, 1799)",50,"97,863,343,796,1072,63,352,572,483,513,563,355,243,504,112,330,94,146,601,455,368,10,328,53,432,295,480,45,162,192,261,688,161,119,493,217,1070,103,636,666,95,857,298,883,507,230,637,134,180,257",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
38,26,4891,1425,59.38,77.26,2.6,"(1840, 6003)","(1463, 4917)",50,"321,562,369,547,481,61,58,1029,376,254,457,205,57,4,530,391,436,974,784,615,80,55,209,98,920,87,505,896,208,9,148,346,227,325,557,197,747,303,443,308,175,239,619,358,101,113,348,630,79,485",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
822,313,2310,2668,72.42,51.24,23.55,"(4862, 3294)","(3490, 2623)",20,"492,290,421,73,756,891,361,44,275,145,53,609,503,1200,428,50,59,190,105,281",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
170,184,5016,1001,48.02,81.4,14.52,"(1642, 6266)","(1171, 5200)",50,"475,232,104,436,784,443,221,83,574,297,34,584,292,80,75,222,295,797,132,290,1003,752,86,392,188,1183,746,24,131,840,149,1063,1465,312,257,141,453,146,747,79,262,114,241,102,159,348,865,630,368,89",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
500,161,2254,3418,75.64,43.49,12.76,"(5170, 2837)","(3918, 2415)",48,"158,2,96,381,99,281,861,756,44,653,140,405,361,270,269,105,41,358,59,190,53,88,11,154,306,31,447,936,1226,175,201,162,261,126,255,25,79,58,390,312,183,548,27,360,429,90,23,248",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
927,348,1672,3152,72.71,42.61,22.73,"(5609, 2298)","(4079, 2020)",38,"61,361,26,662,503,25,134,243,50,978,178,428,388,210,78,696,328,1077,152,453,141,87,746,404,532,268,182,488,174,96,290,137,129,511,1078,132,912,417",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
453,335,2323,3236,57.49,43.74,12.28,"(4814, 2882)","(3689, 2658)",50,"296,289,348,480,551,623,795,368,390,489,694,322,650,308,587,94,248,424,167,367,10,54,204,1017,1064,255,630,192,67,472,274,240,95,196,499,119,670,655,474,321,518,466,58,493,245,568,47,591,450,90",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
495,259,3489,2125,65.65,62.56,18.89,"(3580, 4444)","(2620, 3748)",40,"332,503,513,121,189,1295,388,60,1115,159,404,401,69,341,696,856,1077,299,491,87,566,78,1147,61,1260,307,407,197,26,657,556,382,24,191,468,515,957,356,50,598",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
1088,97,775,4468,91.81,28.98,19.58,"(6793, 1095)","(5556, 872)",50,"508,765,1541,814,314,750,1114,169,543,753,283,127,487,1241,1166,1184,629,1268,1259,1012,1310,1595,31,428,178,523,11,673,936,12,154,643,662,74,746,645,306,1127,88,383,1195,351,841,1523,1014,1173,732,1225,275,1160",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
92,91,4510,1939,50.27,69.39,4.53,"(2924, 5234)","(2031, 4601)",43,"290,891,512,158,752,405,653,977,852,269,816,1168,1185,49,421,61,118,99,105,998,861,52,1193,808,825,361,176,377,266,275,41,720,253,882,756,262,44,1226,145,682,667,116,1059",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
723,440,2935,2054,62.17,59.46,26.04,"(3705, 4301)","(2777, 3375)",25,"512,290,891,1608,1024,1104,61,595,117,815,1365,825,892,1232,1561,105,172,270,498,99,381,653,956,224,1",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
375,207,2856,2622,64.43,53.32,12.51,"(3938, 3789)","(2997, 3063)",50,"294,814,24,115,9,459,1020,66,946,209,144,557,77,1218,835,1137,515,1163,194,813,608,1093,206,629,426,1228,556,800,552,528,1215,218,412,92,197,623,530,261,429,93,1017,212,499,1135,741,1015,10,316,54,474",True,BERT4Rec,ml-100k,False,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,"Tue, 28 Jan 2025 08:11:20"
