determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,split,gen_target_y@1,fidelity_score@1,count,fidelity_score@5,fidelity_score@10,fidelity_score@20,fidelity_gen_score@1,fidelity_gen_score@5,fidelity_gen_score@10,fidelity_gen_score@20
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{2},0.24,100,0.08,0.03,0.01,0.88,0.2,0.12,0.03
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{3},0.56,100,0.21,0.15,0.08,1.0,0.23,0.16,0.09
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{5},0.31,100,0.02,0.0,0.0,1.0,0.08,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{6},0.13,100,0.0,0.0,0.0,0.69,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{7},0.59,100,0.26,0.12,0.05,1.0,0.34,0.16,0.07
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{8},0.18,100,0.0,0.0,0.0,0.71,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 0)",{9},0.1,100,0.0,0.0,0.0,0.78,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 5)",{0},0.45,100,0.2,0.16,0.1,1.0,0.33,0.19,0.1
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 5)",{1},0.25,100,0.09,0.04,0.02,1.0,0.18,0.11,0.03
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 10, 5)",{2},0.0,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0
True,BERT4Rec,ml-100k,2048,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.7,"(None, 5, 0)",{0},0.58,100,0.26,0.18,0.11,1.0,0.33,0.19,0.1
