determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,seed,target,targeted,categorized,baseline,split,count,fidelity_score_at_1,fidelity_score_at_5,fidelity_score_at_10,fidelity_score_at_20
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Adventure,True,True,educated,"(None, 10, None)",98,0.11224489795918367,0.12244897959183673,0.061224489795918366,0.061224489795918366
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Adventure,True,True,random,"(None, 10, None)",98,0.11224489795918367,0.12244897959183673,0.061224489795918366,0.061224489795918366
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Animation,True,True,educated,"(None, 10, None)",98,0.04081632653061224,0.04081632653061224,0.030612244897959183,0.02040816326530612
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Animation,True,True,random,"(None, 10, None)",98,0.04081632653061224,0.04081632653061224,0.030612244897959183,0.02040816326530612
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Drama,True,True,educated,"(None, 10, None)",98,0.3673469387755102,0.3163265306122449,0.2857142857142857,0.21428571428571427
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Drama,True,True,random,"(None, 10, None)",98,0.3673469387755102,0.3163265306122449,0.2857142857142857,0.21428571428571427
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Fantasy,True,True,educated,"(None, 10, None)",98,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Fantasy,True,True,random,"(None, 10, None)",98,0.01020408163265306,0.02040816326530612,0.01020408163265306,0.01020408163265306
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Horror,True,True,educated,"(None, 10, None)",98,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306
True,BERT4Rec,ml-1m,1024,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,101,Horror,True,True,random,"(None, 10, None)",98,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306
