determinism,model,dataset,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mut_prob,crossover_prob,genetic_topk,mutation_params,generation_strategy,ignore_genetic_split,jaccard_threshold,gen_target_y_at_1,split,count,fidelity_score,fidelity_score_at_1,fidelity_score_at_5,fidelity_score_at_10,fidelity_score_at_20,fidelity_gen_score_at_1,fidelity_gen_score_at_5,fidelity_gen_score_at_10,fidelity_gen_score_at_20,gen_cost,cost,gen_dataset_time,dataset_time,align_time,automata_learning_time
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",400,0.0,0.38,0.41,0.3875,0.3625,1.0,0.795,0.645,0.52,1.005,0.605,169.3968275,,167.7399825,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{10},"(None, 10, 0)",457,0.0,0.08971553610503283,0.019693654266958426,0.0087527352297593,0.010940919037199124,0.9890590809628009,0.16630196936542668,0.019693654266958426,0.0087527352297593,1.2168141592920354,0.8871681415929203,92.30336821874263,,72.63282134839285,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",400,0.0,0.2475,0.24,0.155,0.09,1.0,0.625,0.3675,0.175,1.03,0.745,92.72855,,110.09396499999998,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",400,0.0,0.0975,0.035,0.01,0.0025,0.975,0.2525,0.08,0.025,1.341025641025641,0.9307692307692308,86.19410256410258,,60.96921025641025,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",400,0.0,0.505,0.425,0.3775,0.3125,1.0,0.59,0.49,0.405,1.01,0.4825,105.66335500000001,,143.2064425,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",400,0.0,0.05,0.0275,0.005,0.0,0.915,0.3375,0.0125,0.0,1.6967213114754098,0.9699453551912568,85.65048360655737,,43.37995355191257,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,50,"(None, 10, 0)",400,0.0,0.0175,0.0725,0.1,0.1475,0.4325,0.4325,0.4325,0.4325,1.8786127167630058,0.9942196531791907,113.12691329479767,,48.980190751445086,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,411,"(None, 10, 0)",400,0.0,0.0375,0.05,0.055,0.0625,0.2,0.2,0.2,0.2,2.35,1.0,125.38493749999998,,16.34285,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,630,"(None, 10, 0)",400,0.0,0.01,0.0175,0.0325,0.0475,0.1475,0.1475,0.1475,0.1475,2.169491525423729,1.0,125.2286779661017,,38.97937288135593,
True,GRU4Rec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,1305,"(None, 10, 0)",400,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,1.75,1.0,134.31225,,30.618250000000003,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic,True,0.5,NaN,"(None, 10, 0)",943,0.0,0.6903499469777307,0.704135737009544,0.7073170731707317,0.7073170731707317,1.0,0.7454931071049841,0.7582184517497349,0.8101802757158006,1.0,0.7073170731707317,139.60671989328662,,77.06416272216788,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",genetic_categorized,True,0.5,NaN,"(None, 10, 0)",943,0.0,0.8918345705196182,0.9066808059384942,0.9109225874867445,0.9130434782608695,1.0,0.767762460233298,0.6659597030752916,0.6277836691410392,1.0,0.9130434782608695,140.6189124459846,,118.21032589708936,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{0},"(None, 10, 0)",650,0.0,0.4230769230769231,0.45692307692307693,0.39692307692307693,0.36153846153846153,1.0,0.7753846153846153,0.6476923076923077,0.5184615384615384,1.0,0.54,120.1804184317369,,62.959709553897575,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{10},"(None, 10, 0)",943,0.0,0.15058324496288442,0.04559915164369035,0.031813361611876985,0.02332979851537646,0.9946977730646872,0.23223753976670203,0.09437963944856839,0.05408271474019088,1.0970149253731343,0.8432835820895522,135.7327680569976,,55.860709686700226,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{1},"(None, 10, 0)",400,0.0,0.27,0.2325,0.16,0.095,1.0,0.6325,0.42,0.2425,1.0075,0.7025,106.1300325,,53.471059999999994,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{2},"(None, 10, 0)",400,0.0,0.16,0.0725,0.0475,0.03,0.995,0.3425,0.175,0.105,1.0904522613065326,0.8919597989949749,109.16853266331658,,42.2645,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{7},"(None, 10, 0)",400,0.0,0.595,0.5125,0.4625,0.435,1.0,0.715,0.63,0.5525,1.0,0.41,112.33161,,47.85245,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted,True,0.5,{8},"(None, 10, 0)",400,0.0,0.17,0.06,0.0025,0.0,0.915,0.375,0.025,0.0,1.3633879781420766,0.912568306010929,111.508412568306,,29.282322404371584,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,50,"(None, 10, 0)",400,0.0,0.0975,0.1525,0.1775,0.24,0.4925,0.4925,0.4925,0.4925,1.614213197969543,0.9847715736040609,240.26171065989848,,33.99934517766497,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,411,"(None, 10, 0)",400,0.0,0.205,0.24,0.25,0.26,0.365,0.365,0.365,0.365,1.7945205479452055,1.0,200.5226506849315,,8.888349315068494,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,630,"(None, 10, 0)",400,0.0,0.1275,0.175,0.1875,0.1925,0.4325,0.4325,0.4325,0.4325,1.8034682080924855,1.0115606936416186,197.90773410404626,,19.614393063583815,
True,SASRec,ml-100k,8192,10,0,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",True,0.5,0.7,1,"(1, 1, 1)",targeted_uncategorized,True,0.5,1305,"(None, 10, 0)",400,0.0,0.015,0.0175,0.0175,0.0175,0.0375,0.0375,0.0375,0.0375,2.466666666666667,1.0,203.8402,,14.430000000000001,
