i,position,k,all_changes,any_changes,jaccards,sequence,model,dataset,determinism,pop_size,generations,halloffame_ratio,fitness_alpha,allowed_mutations,include_sink,mutation_params,generation_strategy,timestamp
288,49,1,0.0,100.0,40.0,"308,51,333,1692,306,916,135,244,881,39,219,930,1522,1328,1048,2,382,36,390,324,332,41,824,1427,2201,17,1595,50,2182,567,34,1061,391,853,31,2539,1055,3097,1412,1327,574,2164,1835,1942,1036,33,35,26,2202,1026",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
289,49,1,0.0,100.0,50.0,"1452,105,2309,185,961,1541,307,744,1081,697,171,276,259,1731,195,200,1765,1466,207,1024,1518,1298,2450,951,798,543,757,129,56,1467,218,117,987,3115,646,959,643,1546,1154,205,1943,2612,1538,1232,136,1093,1254,2489,44,2348",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
290,49,1,0.0,100.0,50.0,"1745,1296,2354,800,1472,2421,215,2102,1390,1150,715,1287,991,1563,2425,3215,1663,1286,1291,3230,2627,273,1487,977,498,44,971,1984,111,156,980,434,114,1108,93,1471,1669,496,59,75,149,1174,147,1283,137,435,771,670,2416,830",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
291,49,1,0.0,100.0,50.0,"114,879,1873,1713,994,523,545,69,168,51,247,93,49,68,11,245,52,507,41,195,816,281,337,437,505,1971,39,117,133,375,284,485,1630,923,40,98,273,318,906,313,391,510,652,542,1146,811,350,2848,407,214",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
292,49,1,100.0,100.0,0.0,"9,609,613,633,2351,415,47,15,1828,427,332,3202,10,581,799,651,18,31,574,402,569,1427,1773,2273,2991,1826,2062,1092,908,2137,500,1163,1943,2444,2268,1201,2634,937,238,2019,854,542,294,407,1679,207,88,1345,718,2095",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
293,49,1,0.0,0.0,100.0,"98,1167,41,257,52,1110,187,39,43,995,85,510,1406,217,1116,610,281,1332,172,1042,210,99,556,877,652,105,278,353,867,5,789,791,937,129,682,245,168,175,1546,663,798,150,144,53,377,439,169,40,323,340",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
294,49,1,0.0,100.0,40.0,"558,505,438,172,117,537,273,284,1527,265,522,1791,383,471,125,435,218,1110,49,241,214,157,756,2095,712,588,206,79,95,433,190,434,1669,105,670,10,662,168,48,27,245,384,613,643,20,718,425,623,515,809",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
295,49,1,100.0,100.0,0.0,"3030,2337,3462,3208,653,999,9,1449,10,1081,1498,2032,563,1453,695,1455,603,1845,2105,1492,2131,2863,1507,586,1616,207,1,757,624,97,2042,1467,554,566,799,141,1540,2432,772,581,625,427,1091,389,681,2895,2870,1854,1800,1997",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
299,49,1,0.0,0.0,60.0,"1146,189,844,149,1440,529,118,763,1842,41,1034,105,538,816,506,190,539,252,289,120,1015,631,565,1059,87,620,360,161,776,61,556,1260,588,703,768,128,65,219,187,644,645,647,559,676,1082,201,1605,1418,1243,1134",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
300,49,1,100.0,100.0,0.0,"1,93,2373,24,257,125,185,1887,1435,98,157,45,128,133,435,670,49,6,137,140,65,1108,211,105,416,39,69,1769,245,68,247,44,830,52,273,260,1274,923,1652,1062,548,387,942,420,326,2386,910,1329,912,203",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
301,49,1,100.0,100.0,0.0,"604,1120,969,755,1725,1096,1251,2020,1718,1979,77,421,2149,1848,1074,793,1697,57,172,1348,2043,1224,2982,462,1866,148,1548,2296,1467,840,435,877,909,516,353,5,789,874,1559,364,899,333,1151,882,801,1388,2009,351,446,881",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
302,49,1,0.0,0.0,50.0,"184,1271,1309,85,16,1043,1311,257,506,42,790,105,2328,1159,560,2135,1457,3250,334,1,548,2246,2136,185,638,1739,4,267,3059,373,37,430,2401,1538,178,3364,28,946,329,767,1518,393,14,832,2583,375,406,285,518,445",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
303,49,1,0.0,0.0,100.0,"717,276,618,1299,184,1261,2912,1159,463,1452,1455,1676,2484,715,217,2012,961,274,339,663,56,1587,2270,53,117,2399,20,1081,1110,471,727,163,694,42,1233,152,1121,1406,1674,327,1257,243,1453,391,216,69,542,761,324,789",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
305,49,1,100.0,100.0,0.0,"471,532,238,59,69,243,900,534,832,1158,407,260,41,245,1518,612,200,506,1254,125,980,1106,546,185,14,1116,384,210,1196,183,1252,169,1345,436,58,42,240,274,316,351,1328,1463,250,2107,220,2026,1201,359,57,638",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
306,49,1,0.0,0.0,40.0,"375,244,1763,384,291,807,372,172,535,1264,1040,1008,146,348,178,682,421,665,93,265,2057,1651,200,1579,739,212,539,323,1326,105,2073,553,152,1116,94,98,791,1544,20,515,156,697,161,1006,620,1102,763,667,896,893",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
308,49,1,0.0,100.0,16.667,"517,45,435,670,157,125,6,128,729,210,152,200,211,98,1252,58,690,217,218,1069,720,715,187,434,214,278,206,63,587,1070,588,149,1114,79,91,1072,712,241,387,80,190,151,976,121,65,94,61,529,118,647",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
309,49,1,0.0,100.0,16.667,"506,130,397,691,317,291,222,117,177,538,1195,528,730,568,1201,1658,734,190,1257,383,535,522,315,739,129,1339,245,52,168,809,49,45,125,6,128,150,217,670,281,211,98,140,218,187,79,152,712,58,243,260",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
310,49,1,100.0,100.0,0.0,"1127,965,1120,214,274,1119,1459,1811,1180,264,1815,1818,869,741,193,1209,1156,189,1812,1680,1910,791,269,1001,2237,2377,1218,203,636,2393,1729,1814,2159,761,132,2387,1192,1813,911,967,1133,1809,1816,1819,878,1260,1506,1820,1919,1932",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
311,49,1,0.0,0.0,25.0,"622,599,1967,1379,1715,1380,1857,2680,938,747,132,1942,1771,1327,2469,1618,1138,1181,811,908,1823,1354,688,700,1873,1831,1175,773,876,812,1378,1416,1126,1693,2872,2263,1371,1859,1364,1601,1220,2894,2739,2467,1092,1602,2419,1400,1170,1604",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
312,49,1,100.0,100.0,0.0,"2324,2369,802,811,49,4,500,2092,545,406,268,886,341,1855,523,69,1713,2059,1856,105,353,789,874,791,877,933,5,937,232,70,328,920,455,890,502,878,936,1169,938,932,288,1163,501,924,264,898,899,51,306,808",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
313,49,1,0.0,100.0,33.333,"75,1019,1020,94,976,114,1372,387,896,1671,714,490,105,207,632,830,393,316,601,1062,548,20,184,176,2848,770,382,117,798,16,702,129,322,1452,52,1309,247,1299,98,530,425,643,742,27,559,1311,462,744,1659,515",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
315,49,1,0.0,0.0,100.0,"137,382,1468,554,1242,2235,1229,171,20,1099,88,634,2031,211,757,112,176,2962,1110,991,284,1353,724,372,27,98,327,521,1731,1345,1658,274,1320,190,1476,1540,632,1009,1002,983,548,1146,105,2026,328,980,318,61,500,69",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
316,49,1,0.0,100.0,33.333,"172,1529,1076,161,547,1345,1654,344,20,1201,793,86,323,636,39,377,598,1910,1143,207,1821,832,34,1285,681,420,2142,734,674,534,631,1028,1116,61,17,89,117,190,215,1042,1500,453,564,1590,652,761,5,316,2057,350",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
317,49,1,0.0,100.0,50.0,"1466,52,48,106,1457,277,2066,322,663,2589,175,2903,10,267,2067,125,2484,1731,673,178,356,168,68,112,245,1646,530,665,148,55,1640,2713,142,302,1065,281,1607,337,1452,1459,1240,2586,2501,1762,2034,983,128,313,1587,7",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
319,49,1,100.0,100.0,0.0,"716,568,891,1745,383,2183,731,522,1352,1746,253,793,1182,872,901,1334,275,201,400,1305,1209,90,1412,772,578,1177,919,815,447,691,728,557,640,1375,1366,843,592,401,1331,515,736,559,574,657,1038,623,1317,607,809,718",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
321,49,1,100.0,100.0,0.0,"356,516,539,284,1164,2154,234,464,98,1424,734,362,705,173,2268,892,505,1401,511,897,376,244,1201,457,453,306,1879,1277,230,324,391,5,50,35,1615,903,1439,351,956,1187,253,190,289,804,439,345,687,528,2900,433",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
322,49,1,100.0,100.0,0.0,"73,576,1844,2582,2465,85,41,757,56,1211,816,336,564,731,1501,515,1314,702,2884,425,1186,199,1375,535,244,315,1434,1182,149,741,716,1352,677,1177,826,84,604,1951,1305,1393,427,636,1255,835,292,1688,1042,1833,4,545",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
323,49,1,0.0,100.0,50.0,"995,23,999,1006,1018,970,190,468,114,897,971,156,289,1904,776,61,1015,755,784,606,161,809,99,604,1076,559,556,2502,983,317,256,243,2032,1093,71,125,1071,1467,22,1116,135,1521,1863,2856,835,1846,382,540,214,3206",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
324,49,1,0.0,100.0,50.0,"265,729,1155,1285,1110,7,187,3145,111,58,63,1229,1042,79,1070,152,647,1475,712,721,206,156,741,1019,529,1639,1178,441,1001,1035,1221,219,468,769,339,560,978,247,1015,744,843,755,588,1085,648,576,1081,498,200,976",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
325,49,1,0.0,100.0,33.333,"350,1070,3021,113,1201,39,795,278,1155,110,2238,392,426,980,877,1650,1060,846,2848,1472,199,100,466,636,1146,696,645,455,1645,2135,945,1347,402,898,913,2246,1692,1594,1335,657,328,876,2885,943,1965,2959,2620,105,734,61",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
327,49,1,0.0,100.0,25.0,"7,79,152,200,213,1471,721,215,140,187,349,616,256,588,1372,386,1836,95,278,703,58,690,1004,273,741,756,1114,1023,991,114,529,644,712,111,387,3056,857,190,376,2235,265,1019,196,91,587,1227,1214,496,189,2538",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
328,49,1,100.0,100.0,0.0,"885,734,218,1332,199,455,876,1335,877,865,920,1347,1367,129,983,918,133,530,1333,1861,151,265,79,466,152,524,241,1832,121,874,884,899,70,306,1688,850,1921,895,74,131,892,126,502,932,1086,223,2260,915,1841,878",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
329,49,1,100.0,100.0,0.0,"306,219,2140,245,168,129,52,110,2484,454,507,49,356,543,510,1097,165,528,492,377,318,286,511,96,497,448,897,372,156,190,133,114,93,971,167,1673,433,63,265,149,61,529,663,260,210,30,247,337,715,906",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
330,49,1,0.0,100.0,50.0,"647,241,297,188,531,151,376,149,1108,2854,118,1157,147,387,1001,206,59,189,857,844,84,1113,896,91,61,841,976,645,892,643,20,981,432,98,125,1242,952,377,995,1241,247,744,8,105,207,598,1033,227,1620,1420",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
331,49,1,0.0,0.0,50.0,"63,715,995,65,78,323,1009,644,1015,27,677,2697,190,215,587,647,897,738,295,1249,156,433,857,161,776,61,604,120,763,725,620,1714,556,969,642,755,2557,1134,1656,1185,1210,125,210,1017,592,741,759,1019,529,1018",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
332,49,1,100.0,100.0,0.0,"93,343,157,375,2,362,378,501,5,152,439,2223,370,2399,1524,79,516,506,165,315,1872,445,539,804,355,107,1259,359,374,244,11,797,491,538,923,1630,461,521,63,434,892,241,815,904,40,770,2056,172,522,34",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
333,49,1,100.0,100.0,0.0,"1212,901,718,123,207,172,336,61,353,190,161,1059,134,1420,686,734,114,897,631,87,433,252,606,809,1191,1727,1260,1210,1718,34,142,378,165,528,332,1201,291,568,90,872,538,1182,557,746,826,149,467,891,1136,522",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
334,49,1,100.0,100.0,0.0,"648,765,1026,389,11,1524,22,17,34,9,589,597,1047,613,621,633,391,36,31,5,38,683,1077,581,2,1035,35,2209,924,244,47,18,1178,1021,26,292,48,662,20,740,1116,965,1150,595,274,1119,46,630,356,336",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
335,49,1,0.0,0.0,100.0,"281,421,649,1466,1636,709,1512,175,727,2050,1452,6,1062,1099,1493,609,1762,83,1261,3,646,1652,934,65,829,412,548,208,1545,425,1529,1257,222,471,1195,465,1196,2306,1510,1455,1513,2314,46,77,1453,1279,697,85,586,366",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
336,49,1,0.0,0.0,100.0,"124,1825,1833,2234,846,395,209,917,1840,1301,84,398,1383,339,1450,1238,1451,1232,560,2233,1241,961,247,122,1446,744,986,946,1010,1040,1150,432,1159,1116,601,1127,1536,1129,214,213,375,1132,869,991,595,274,1119,2014,1117,1122",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
337,49,1,0.0,100.0,40.0,"1028,284,354,1302,480,258,432,530,1683,1107,511,436,142,525,2572,21,47,157,1647,2323,281,1872,612,995,26,830,500,1488,397,1547,3406,2439,342,61,39,808,365,1015,1673,494,307,34,11,208,468,924,18,633,35,391",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
338,49,1,0.0,100.0,16.667,"11,589,597,609,208,1047,613,633,610,441,31,671,47,1077,1178,26,1221,672,516,353,513,5,789,791,1997,70,292,1136,274,882,1388,881,869,1116,214,326,912,604,105,2188,2848,336,58,749,1476,435,1229,1110,670,93",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
339,49,1,100.0,100.0,0.0,"879,937,1210,1064,935,1718,129,630,52,1263,260,560,1241,30,247,530,487,2110,1273,1233,79,429,1269,152,211,205,329,1240,923,462,1259,703,800,1472,1004,243,466,3044,1235,94,91,1563,241,1673,306,1559,229,121,746,2493",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
341,49,1,0.0,0.0,50.0,"581,1028,610,1001,924,389,1426,869,2624,1115,595,1131,214,1268,1122,1127,2468,2237,2369,1536,1537,1006,1296,2367,1116,1571,1962,1978,3008,2950,2387,2968,1297,2353,2975,1733,2389,2380,2374,1249,976,995,677,1134,190,63,114,529,134,776",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
347,49,1,0.0,0.0,100.0,"69,1936,517,545,268,994,861,39,959,168,24,49,2646,258,128,1043,53,2640,509,548,652,1856,369,867,789,874,2493,877,516,70,328,933,316,920,436,937,355,129,68,2822,2628,816,366,617,1846,133,492,530,226,93",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
348,49,1,100.0,100.0,0.0,"1299,274,757,626,199,1311,5,742,184,538,712,34,597,609,833,535,731,553,46,393,689,643,1309,1314,372,789,208,1352,677,699,425,392,640,169,397,515,177,815,522,580,401,1237,1257,84,1517,1366,730,738,691,1265",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
350,49,1,0.0,0.0,100.0,"1000,2401,893,832,445,546,1713,267,520,597,609,610,651,940,38,350,1486,3132,3181,316,327,518,1614,416,958,221,545,1435,2706,2630,2484,2092,531,56,2629,1106,2649,2716,384,2215,2567,863,2019,227,2588,244,2052,317,1,1110",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
351,49,1,100.0,100.0,0.0,"38,609,715,13,176,42,53,152,9,499,292,265,1536,351,274,50,613,906,651,516,1591,43,530,885,643,674,60,588,1060,313,190,20,770,505,177,1527,633,1151,344,306,469,466,47,1047,872,1346,219,525,329,196",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
352,49,1,100.0,100.0,0.0,"468,114,742,201,703,206,33,190,151,149,196,61,644,1227,1554,167,1249,623,857,844,529,1738,288,681,559,768,1017,679,620,1042,776,648,718,312,1618,676,87,1079,642,120,1185,1082,1605,1686,1342,1104,1418,1134,576,1083",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
353,49,1,0.0,100.0,40.0,"2554,3303,1119,329,2120,1240,1535,997,912,1869,883,1397,1116,1127,1129,214,375,432,2369,1123,1536,595,1131,213,1509,264,1117,1531,1118,1122,2371,2840,2468,1112,269,1542,636,1144,1568,585,1152,1723,2021,9,589,613,38,18,1047,219",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
355,49,1,100.0,100.0,0.0,"1186,199,1271,1309,564,548,1290,372,1051,702,1658,2619,2254,1314,1642,833,516,580,1043,2139,515,286,177,335,553,1963,1865,693,425,772,172,261,2223,467,1660,792,1626,1277,90,1253,1352,1257,1929,815,731,738,2097,872,1052,1691",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
356,49,1,100.0,100.0,0.0,"80,161,904,126,513,1086,777,1193,1089,1103,648,182,92,1037,879,124,859,134,2139,172,243,897,588,920,150,576,1712,151,131,1830,413,344,433,60,117,192,845,3197,1862,114,631,850,1869,1671,1119,732,39,1098,127,226",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
357,49,1,0.0,0.0,50.0,"2100,3285,1199,1717,1209,2635,317,2176,878,146,657,2159,161,67,1079,1191,128,1301,1614,631,745,1104,1554,1231,2503,917,2556,832,1225,1598,2065,92,1965,2868,2445,176,1599,2344,1650,958,1839,331,1290,199,731,53,24,553,766,2125",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
359,49,1,100.0,100.0,0.0,"996,2348,1010,219,956,883,1254,630,663,1922,1964,1629,1284,1492,1462,1261,1562,1535,1613,586,259,1583,795,1259,1584,1941,3184,344,895,2016,306,1369,1739,1802,293,2427,884,1832,849,59,3296,489,138,2675,475,1561,922,2015,969,851",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
360,49,1,100.0,100.0,0.0,"1483,645,147,164,1337,3613,768,1712,1704,844,2250,2423,3279,2293,858,760,1011,1440,841,158,1475,971,1214,167,138,376,910,127,513,320,851,297,777,2649,1989,1203,904,1391,2175,87,754,1838,1860,642,2783,1272,2099,223,880,1666",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
361,49,1,0.0,0.0,100.0,"128,729,214,670,211,1473,79,91,301,265,118,971,245,1538,836,983,2611,106,97,1625,1546,1845,1613,835,205,45,289,215,630,322,39,1263,2265,524,1040,41,597,609,1047,219,22,432,595,2578,791,550,284,239,125,634",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
362,49,1,100.0,100.0,0.0,"815,522,640,2226,1347,1460,2220,687,739,353,746,577,691,1749,792,761,789,2892,794,1310,1436,1253,1335,584,1857,1672,1757,1197,809,1366,397,1380,1334,591,910,1358,1076,622,1430,333,1226,1055,194,1166,747,1785,1787,871,1686,658",BERT4Rec,ml-1m,True,2048,20,0.2,0.5,"('replace', 'swap', 'add', 'delete', 'shuffle', 'reverse')",False,"(6, 6, 6)",genetic_categorized,"Wed, 11 Dec 2024 12:02:11"
